City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
richards bay,290.82,96,32.04,-28.78,100,ZA,2.87,1604276062
norsup,302.15,70,167.38,-16.07,40,VU,4.6,1604276062
ambulu,299.52,80,113.61,-8.35,72,ID,1.01,1604276063
flic en flac,293.15,94,57.36,-20.27,20,MU,0.5,1604276063
nishihara,298.15,83,127.76,26.18,20,JP,1.5,1604276063
lannion,290.15,88,-3.42,48.75,90,FR,11.8,1604276063
pilar do sul,285.47,90,-47.72,-23.81,13,BR,3.59,1604276064
bengkulu,298.12,86,102.27,-3.8,99,ID,2.06,1604275779
nanakuli,301.15,65,-158.15,21.39,20,US,3.6,1604276064
ushtobe,275.23,82,77.98,45.25,0,KZ,0.68,1604276065
comodoro rivadavia,296.15,56,-67.5,-45.87,0,AR,0.5,1604276065
thinadhoo,301.56,74,72.93,0.53,98,MV,3.81,1604276065
kaka,289.0,31,59.61,37.35,12,TM,2.17,1604275875
beipiao,275.3,64,120.78,41.79,0,CN,7.73,1604276066
santa fe,293.15,54,-60.7,-31.63,0,AR,0.89,1604276066
great yarmouth,290.93,95,1.73,52.61,100,GB,4.92,1604276067
carnarvon,294.15,60,113.63,-24.87,2,AU,7.2,1604276067
laguna,300.37,19,-121.42,38.42,1,US,2.6,1604276067
salinas,299.26,44,-121.66,36.68,1,US,5.1,1604276067
avera,289.15,87,-82.53,33.19,1,US,2.1,1604276068
garissa,297.96,75,39.64,-0.45,38,KE,5.97,1604276068
mezdra,274.15,86,23.7,43.15,20,BG,1.0,1604276068
goderich,276.15,69,-81.72,43.75,100,CA,14.9,1604275915
venado tuerto,290.93,61,-61.97,-33.75,0,AR,4.02,1604276068
luhyny,279.19,88,28.4,51.08,79,UA,2.93,1604276069
moose factory,271.15,79,-80.61,51.26,90,CA,7.7,1604276069
vila franca do campo,290.15,88,-25.43,37.72,75,PT,10.8,1604276069
nehe,267.91,93,124.83,48.48,100,CN,5.57,1604276069
peniche,292.04,91,-9.38,39.36,95,PT,1.34,1604276070
narsaq,267.15,73,-46.05,60.92,0,GL,2.6,1604276070
bandarbeyla,297.84,77,50.81,9.49,0,SO,8.17,1604276070
kalaleh,294.03,24,55.49,37.38,11,IR,1.82,1604276070
kimberley,286.15,87,24.76,-28.73,0,ZA,2.6,1604276071
nokaneng,295.67,32,22.27,-19.67,56,BW,1.58,1604276071
tapes,288.73,71,-51.4,-30.67,13,BR,3.2,1604276071
imeni poliny osipenko,270.95,98,136.49,52.42,100,RU,5.32,1604276071
puerto leguizamo,296.4,95,-74.78,-0.19,95,CO,0.5,1604276072
morondava,296.93,84,44.28,-20.28,2,MG,0.7,1604276072
necochea,290.37,54,-58.74,-38.55,28,AR,4.47,1604276072
alofi,301.15,74,-169.92,-19.06,75,NU,8.7,1604276072
itaituba,301.79,57,-55.98,-4.28,93,BR,0.92,1604275892
tezu,293.89,73,96.17,27.92,43,IN,0.96,1604276073
port moresby,304.15,66,147.18,-9.44,40,PG,1.5,1604276073
meulaboh,297.68,89,96.13,4.14,100,ID,1.19,1604276073
neyshabur,284.23,44,58.8,36.21,7,IR,0.48,1604276074
la argentina,290.56,89,-75.98,2.2,99,CO,0.45,1604276074
quatre cocos,293.15,94,57.76,-20.21,20,MU,0.5,1604276074
la ronge,278.15,75,-105.28,55.1,95,CA,2.1,1604276074
ngaoundere,292.68,67,13.58,7.32,77,CM,1.32,1604276075
rapallo,288.71,89,9.23,44.35,84,IT,0.45,1604276075
zeliezovce,285.37,97,18.65,48.05,100,SK,0.45,1604276075
axim,298.68,89,-2.24,4.87,100,GH,2.96,1604276076
moyale,291.94,89,39.06,3.52,81,KE,1.77,1604276076
okha,278.74,97,142.95,53.57,100,RU,6.06,1604276076
mondovi,282.59,100,7.82,44.4,32,IT,1.5,1604276076
taksimo,257.49,81,114.88,56.34,4,RU,1.06,1604276077
labuhan,299.41,82,112.21,-6.88,93,ID,3.3,1604276077
hoima,291.04,92,31.34,1.44,93,UG,0.74,1604276077
katangli,279.88,95,143.23,51.71,100,RU,5.93,1604276077
maryborough,299.58,55,152.7,-25.53,2,AU,5.16,1604276077
kon tum,292.96,82,108.0,14.35,89,VN,1.15,1604275813
hofn,275.92,74,-15.21,64.25,0,IS,7.94,1604276078
mogocha,260.63,74,119.77,53.73,94,RU,5.41,1604276078
tres arroyos,288.06,61,-60.28,-38.37,64,AR,3.94,1604276078
caravelas,295.07,83,-39.25,-17.71,100,BR,4.12,1604276079
malegaon,295.39,44,74.53,20.55,45,IN,1.59,1604276079
lahat,296.91,81,103.53,-3.8,92,ID,0.52,1604276079
merauke,302.73,67,140.33,-8.47,91,ID,3.64,1604276079
cabedelo,299.15,83,-34.83,-6.98,40,BR,4.1,1604276080
kachug,262.38,88,105.88,53.96,0,RU,0.89,1604276080
la puebla de cazalla,292.59,71,-5.31,37.22,0,ES,1.5,1604276080
maumere,302.06,65,122.21,-8.62,92,ID,1.39,1604276080
bianzhuang,285.26,41,118.04,34.85,10,CN,0.97,1604276081
cedar city,294.15,9,-113.06,37.68,1,US,3.1,1604276081
banda aceh,299.69,79,95.32,5.56,100,ID,3.37,1604276081
texarkana,293.15,30,-94.05,33.43,1,US,2.6,1604276081
athabasca,286.15,54,-113.29,54.72,35,CA,3.1,1604276082
suntar,255.55,92,117.63,62.14,8,RU,2.99,1604276082
slave lake,281.15,70,-114.77,55.28,1,CA,1.5,1604276026
kapit,298.41,89,112.93,2.02,100,MY,0.47,1604276082
curup,294.48,89,102.53,-3.47,98,ID,0.9,1604276083
sao jose da coroa grande,298.49,83,-35.15,-8.9,34,BR,4.73,1604276083
jackson,297.04,30,-122.83,42.42,0,US,0.69,1604276083
port macquarie,291.15,88,152.92,-31.43,90,AU,5.7,1604276083
mandalgovi,263.86,87,106.27,45.76,0,MN,1.59,1604276084
sola,300.39,83,167.55,-13.88,67,VU,8.4,1604276084
aurillac,286.48,81,2.45,44.92,0,FR,3.1,1604276084
monrovia,299.17,87,-10.8,6.3,45,LR,3.11,1604276084
barabai,298.49,89,115.38,-2.58,100,ID,0.7,1604276085
ust-ishim,272.96,96,71.17,57.69,99,RU,3.21,1604276086
pushkino,277.15,100,37.87,56.02,90,RU,5.0,1604276086
touros,299.15,83,-35.46,-5.2,40,BR,4.6,1604276074
luchegorsk,276.43,76,134.26,46.48,34,RU,3.52,1604276087
fairlie,282.04,93,-4.86,55.76,75,GB,7.2,1604276087
waingapu,301.81,68,120.26,-9.66,47,ID,4.58,1604276087
vostok,272.92,96,135.88,46.49,70,RU,1.73,1604276087
bathsheba,301.15,78,-59.52,13.22,75,BB,10.3,1604276088
klamath falls,294.82,22,-121.78,42.22,1,US,1.28,1604276000
new philadelphia,275.15,64,-81.45,40.49,75,US,6.2,1604276088
mudgee,292.04,55,149.59,-32.59,1,AU,5.7,1604275824
swinford,282.04,95,-8.95,53.95,91,IE,2.24,1604276089
ialibu,295.91,54,143.99,-6.28,68,PG,1.43,1604276089
paragominas,300.35,58,-47.48,-2.97,92,BR,1.31,1604276089
lagoa,290.26,73,-27.98,39.05,96,PT,6.55,1604276089
chornobay,280.71,93,32.32,49.67,99,UA,4.39,1604276090
siuna,296.43,90,-84.78,13.73,97,NI,2.0,1604276090
tautira,301.15,69,-149.15,-17.73,40,PF,5.7,1604276090
mezen,272.99,97,44.24,65.85,92,RU,3.96,1604276091
hammerfest,279.15,75,23.68,70.66,0,NO,10.3,1604276091
baykit,268.23,95,96.37,61.67,100,RU,2.31,1604276091
kashin,275.66,88,37.61,57.36,99,RU,4.29,1604276091
college,257.59,77,-147.8,64.86,40,US,0.55,1604276092
polunochnoye,268.06,96,60.42,60.87,0,RU,1.58,1604276092
omboue,297.26,92,9.26,-1.57,87,GA,1.76,1604276092
mae sai,295.15,100,99.88,20.43,0,TH,0.6,1604276092
balkanabat,292.92,30,54.37,39.51,0,TM,1.44,1604276093
slonim,276.84,94,25.32,53.09,0,BY,1.86,1604276093
dwarka,299.74,50,68.97,22.24,23,IN,4.67,1604276093
kidderminster,290.37,91,-2.25,52.39,100,GB,2.24,1604276094
tiarei,301.15,69,-149.33,-17.53,40,PF,5.7,1604276094
canalete,297.95,88,-76.2,8.68,78,CO,2.21,1604276094
along,290.92,86,94.77,28.17,37,IN,0.52,1604276094
dakar,299.15,78,-17.44,14.69,0,SN,5.03,1604275884
aleppo,291.17,30,37.5,36.25,68,SY,3.19,1604276095
morehead,282.15,26,-87.18,37.27,1,US,2.1,1604276095
jalu,291.25,55,21.55,29.03,2,LY,3.26,1604276096
soria,283.71,85,-2.67,41.67,44,ES,1.82,1604276096
san rafael,297.29,19,-68.33,-34.62,20,AR,5.83,1604275834
hami,276.09,66,93.45,42.8,0,CN,2.68,1604276097
sinop,279.72,69,34.87,41.77,0,TR,3.93,1604276097
pacific grove,299.26,63,-121.92,36.62,1,US,2.1,1604276032
mayahi,298.61,20,7.67,13.96,0,NE,5.22,1604276097
lima,291.15,77,-77.03,-12.04,90,PE,4.1,1604275797
asmar,286.64,28,71.36,35.03,0,AF,3.59,1604276098
mehamn,276.15,83,27.85,71.04,0,NO,6.7,1604276098
dali,288.1,89,100.18,25.7,90,CN,1.54,1604276098
porto novo,299.18,89,2.6,6.5,21,BJ,4.11,1604275896
puerto quijarro,298.81,53,-57.77,-17.78,73,BO,1.94,1604276099
agirish,269.97,96,63.02,61.92,47,RU,4.22,1604275926
tigre,293.15,55,-58.58,-34.43,0,AR,3.6,1604275990
domoni,296.92,80,44.53,-12.26,91,KM,2.61,1604276100
morant bay,299.15,88,-76.41,17.88,40,JM,8.2,1604276101
ciudad bolivar,300.14,78,-63.55,8.12,64,VE,3.95,1604276000
tura,293.29,96,90.22,25.52,97,IN,0.83,1604276102
whitefish,284.15,40,-114.34,48.41,1,US,2.6,1604275808
kalmunai,298.76,80,81.82,7.42,46,LK,2.6,1604276103
port-gentil,299.15,94,8.78,-0.72,75,GA,2.6,1604276103
port-cartier,276.48,89,-66.87,50.03,99,CA,1.5,1604276103
komsomolskiy,281.15,33,71.72,40.43,100,UZ,2.1,1604276104
eyl,298.9,68,49.82,7.98,0,SO,5.4,1604276104
asansol,295.89,62,86.98,23.68,80,IN,1.8,1604276104
svetlyy,280.15,87,20.13,54.67,75,RU,4.0,1604276104
bud,276.15,51,-86.18,39.45,1,US,4.1,1604276105
